Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
27,,C,C21,10uF,SMD-0805,1,~,5c70984712875079b91f8b53
28,,C,C23,10uF,SMD-0805,1,~,5c70984712875079b91f8b53
29,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C36,10uF,SMD-0805,1,,5c70984712875079b91f8b53
30,,C,C4,10uF,SMD-0805,1,~,5c70984712875079b91f8b53
31,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C40,10uF,SMD-0805,1,,5c70984712875079b91f8b53
32,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C42,10uF,SMD-0805,1,,5c70984712875079b91f8b53
33,,C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C50,10uF,SMD-0805,1,,5c70984712875079b91f8b53
34,,C,C6,10uF,SMD-0805,1,~,5c70984712875079b91f8b53
35,,C,C7,10uF,SMD-0805,1,~,5c70984712875079b91f8b53
36,,C,C8,10uF,SMD-0805,1,~,5c70984712875079b91f8b53
37,,C,C9,10uF,SMD-0805,1,~,5c70984712875079b91f8b53
38,,CP,C1,22uF,TantalC_SizeC_Reflow,1,~,650b58f1462c6d9e7205463b
39,,C,C19,1nF/NP0,SMD-0805,1,~,5c70984812875079b91f8ba6
40,,C,C5,1pFNP0 251R15S1R0AV4E,SMD-0805,1,~,5c70984712875079b91f8b9f
41,,EMI_Filter_C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C29,NFM21PC105-1uF,FIR_0805,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,5c70984412875079b91f880f
42,,EMI_Filter_C-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,C52,NFM21PC105-1uF,FIR_0805,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,5c70984412875079b91f880f
43,,D-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,D3,"BZV55C-5,6V",D_MiniMELF,1,,5c70984512875079b91f88b2
44,,D_Photo,D1,S11773-02,HAMAMATSU_S11773-02,1,~,
45,,Polyfuse-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue-SPACEDOS01B_PCB01A-rescue,F2,2R2,SMD-0805,1,,5cac42d21287500e61c241e5
46,,L-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,L1,10uH - LQH32CN100K23L,SMD-1210,1,,5c70984412875079b91f87ff
47,,L_Small,L3,DFE252012P-4R7M,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,~,5cc3309d128750448e54e8d8
48,,HOLE,M10,BMI-S-204-F,Laird_Technologies_BMI-S-204-F_32.00x32.00mm,1,,5c72751c1287500b4e11301a
49,,HOLE,M8,BMI-S-204-F,Laird_Technologies_BMI-S-204-F_32.00x32.00mm,1,,5c72751c1287500b4e11301a
50,,HOLE,M9,BMI-S-204-F,Laird_Technologies_BMI-S-204-F_32.00x32.00mm,1,,5c72751c1287500b4e11301a
51,,HOLE,M6,BMI-S-210-F,BMI-S-210-F,1,,5c70984312875079b91f873d
52,,R,R1,10R,SMD-0805,1,~,5c70984512875079b91f896d
53,,R,R2,470R,SMD-0805,1,~,5c70984512875079b91f8986
54,,R,R3,470R,SMD-0805,1,~,5c70984512875079b91f8986
55,,R,R4,470R,SMD-0805,1,~,5c70984512875079b91f8986
56,,R,R5,470R,SMD-0805,1,~,5c70984512875079b91f8986
57,,R,R10,1k,SMD-0805,1,~,5c70984512875079b91f898c
58,,R,R8,1k,SMD-0805,1,~,5c70984512875079b91f898c
59,,R,R13,2k2,SMD-0805,1,~,5c70984612875079b91f8990
60,,R,R11,4k7,SMD-0805,1,~,5c70984612875079b91f8995
61,,R,R15,4k7,SMD-0805,1,~,5c70984612875079b91f8995
62,,R,R19,4k7,SMD-0805,1,~,5c70984612875079b91f8995
63,,R,R22,4k7,SMD-0805,1,~,5c70984612875079b91f8995
64,,R,R9,4k7,SMD-0805,1,~,5c70984612875079b91f8995
65,,R,R12,10k,SMD-0805,1,~,5c70984612875079b91f899f
66,,R-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,R20,10k,SMD-0805,1,,5c70984612875079b91f899f
67,,R-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,R21,10k,SMD-0805,1,,5c70984612875079b91f899f
68,,R-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,R23,10k,SMD-0805,1,,5c70984612875079b91f899f
69,,R,R7,10k,SMD-0805,1,~,5c70984612875079b91f899f
70,,R,R6,10M,SMD-0805,1,~,5c70984712875079b91f8aae
71,,ATMEGA1284P-AU-atmel-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,U10,ATMEGA1284P-AU,TQFP-44_10x10mm_P0.8mm,1,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,5c70984712875079b91f8b5b
72,,ISL21070CIH320Z-TK,U3,ISL21080DIH312Z-TK  1V25,SOT-23,1,https://eu.mouser.com/datasheet/2/698/REN_isl21080_DST_20040119-1998038.pdf,5c70984712875079b91f8b7a
73,,AD8692,U1,OPA2314,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,,5c70984412875079b91f879b
74,,AD8692,U2,OPA2314,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,,5c70984412875079b91f879b
75,,PCF85263A,U11,PCF85263A,TSSOP-10_3x3mm_Pitch0.5mm,1,,5c70984612875079b91f8a0c
76,,TPS61322xA,U8,TPS613222ADBV,SOT-23-5,1,https://www.ti.com/lit/ds/symlink/tps61322.pdf,5c7190ae1287500b4e112e04
77,,TS5A4594,U5,TS5A4594,SOT-23-5_HandSoldering,1,,5c70984612875079b91f8a0d
78,,OP179GRT,U4,TS7211,SOT-23-5_HandSoldering,1,http://www.analog.com/media/en/technical-documentation/data-sheets/OP179_279.pdf,5c70984712875079b91f8b5b
79,,Crystal-device-DATALOGGER01A-rescue-CCP2019V01A-rescue-SPACEDOS01A_PCB01A-rescue,Y2,ABS07-120-32.768KHZ-T,ABS07,1,,5c70984712875079b91f8b1b
